"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 27 17:39:59 CST 2024","Tue Feb 27 17:39:59 CST 2024","14","","test_mysql_insert into","TESTinsertdelete","","","test_mysql_insert_into",""
"passed","Tue Feb 27 17:39:59 CST 2024","Tue Feb 27 17:40:00 CST 2024","24","","test_mysql_select","TestPymysql","","","test_mysql_select",""
"passed","Tue Feb 27 15:53:10 CST 2024","Tue Feb 27 15:53:10 CST 2024","22","","test_mysql_select","Testpymysql","","","test_mysql_select",""
"passed","Tue Feb 27 17:39:59 CST 2024","Tue Feb 27 17:39:59 CST 2024","25","","test_mysql_connect","","","","test_mysql_connect",""
"passed","Tue Feb 27 17:39:59 CST 2024","Tue Feb 27 17:39:59 CST 2024","20","","test_mysql_insert into","TESTinsertdelete","","","test_mysql_delete",""
